Player,Tm,Salary,Signed Using,Guaranteed,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Patrick McCaw,TOR,4000000,MLE,$4000000,SF,25.0,5.0,0.0,6.6,0.2,0.2,1.0,0.0,0.0,,0.2,0.2,1.0,1.0,0.6,0.6,1.0,0.2,0.4,0.6,0.8,0.4,0.0,0.0,1.2,1.0,12.0,1.078,0.0,3.0,3.2,6.9,5.0,15.3,2.9,0.0,0.0,3.0,0.1,0.0,0.1,0.20800000000000002,-2.5,3.5,1.0,0.0
Miles Bridges,CHO,3934320,1st Round Pick,$9355813,PF,22.0,45.0,2.0,26.6,3.7,7.4,0.5,1.2,3.3,0.37200000000000005,2.5,4.1,0.603,0.583,1.1,1.2,0.909,1.3,4.5,5.8,2.0,0.6,0.7,1.6,2.3,9.7,12.6,0.609,0.447,0.168,5.2,18.2,11.7,10.6,1.1,2.6,16.3,15.3,1.1,1.2,2.2,0.08800000000000001,-1.1,-0.2,-1.2,0.2
Jarrett Allen,CLE,3909902,1st Round Pick,$3909902,C,22.0,44.0,26.0,28.7,4.8,7.5,0.633,0.1,0.3,0.41700000000000004,4.6,7.2,0.642,0.6409999999999999,3.5,4.9,0.7040000000000001,3.0,6.9,9.9,1.7,0.5,1.7,1.5,1.6,13.1,21.8,0.6759999999999999,0.036000000000000004,0.655,11.8,26.9,19.3,9.0,0.8,5.2,13.3,16.9,3.5,1.6,5.1,0.19399999999999998,2.2,0.1,2.3,1.4
OG Anunoby,TOR,3872215,1st Round Pick,$75872215,SF,23.0,29.0,29.0,33.4,5.3,10.9,0.484,2.3,5.7,0.406,3.0,5.2,0.57,0.59,1.8,2.4,0.754,1.5,4.4,5.9,1.8,1.7,0.8,1.8,2.8,14.7,14.7,0.614,0.522,0.218,4.7,15.1,9.7,8.2,2.4,2.4,13.1,17.7,0.9,1.1,2.0,0.1,0.2,0.7,1.0,0.7
Tyrese Haliburton,SAC,3831840,1st Round Pick,$7855440,PG,20.0,41.0,10.0,30.2,5.1,10.4,0.48700000000000004,2.2,5.2,0.423,2.9,5.2,0.552,0.594,0.8,0.9,0.868,0.8,2.5,3.3,5.0,1.3,0.6,1.5,1.4,13.2,17.0,0.608,0.504,0.08900000000000001,2.9,9.4,6.1,22.9,2.1,1.5,12.4,17.5,2.5,0.4,2.8,0.109,2.4,-0.6,1.8,1.2
Tyler Herro,MIA,3822240,1st Round Pick,$7826520,SG,21.0,36.0,14.0,31.9,5.8,13.9,0.414,1.9,5.8,0.325,3.9,8.1,0.478,0.48200000000000004,2.1,2.5,0.835,0.5,4.8,5.3,3.6,0.7,0.4,2.2,1.4,15.5,11.9,0.517,0.418,0.182,1.9,16.0,9.2,18.1,1.0,1.2,12.8,24.1,-0.7,1.3,0.6,0.026000000000000002,-1.4,-1.3,-2.7,-0.2
Stanley Johnson,TOR,3801000,Bi-annual Exception,$3801000,PF,24.0,41.0,6.0,14.1,1.0,2.6,0.387,0.6,1.7,0.371,0.4,0.9,0.41700000000000004,0.509,0.3,0.4,0.778,0.4,1.7,2.1,1.1,0.7,0.3,0.7,1.8,3.0,7.9,0.535,0.66,0.17,3.3,13.9,8.4,10.8,2.3,2.1,19.7,10.6,0.0,0.6,0.6,0.051,-3.6,1.2,-2.4,-0.1
Jake Layman,MIN,3761085,Sign and Trade,$7701269,SF,26.0,33.0,10.0,16.1,2.3,4.6,0.49,0.6,2.0,0.292,1.7,2.7,0.636,0.552,0.7,0.9,0.767,0.4,1.5,1.8,0.8,0.8,0.5,0.7,1.1,5.8,11.7,0.578,0.425,0.196,2.5,10.2,6.2,7.1,2.2,2.5,12.2,14.9,0.2,0.4,0.6,0.054000000000000006,-2.5,0.1,-2.4,-0.1
Jerome Robinson,WAS,3737520,1st Round Pick,$3737520,SG,23.0,15.0,4.0,17.3,1.5,5.2,0.295,0.6,2.2,0.273,0.9,3.0,0.311,0.353,1.1,1.3,0.8,0.2,2.1,2.3,1.4,0.7,0.3,1.1,1.9,4.7,4.6,0.41200000000000003,0.446,0.217,1.4,11.9,6.6,10.5,1.9,1.4,15.2,16.7,-0.6,0.2,-0.3,-0.055999999999999994,-6.3,-1.0,-7.3,-0.4
Danuel House,HOU,3717000,MLE,$7611000,SF,27.0,28.0,18.0,27.8,3.3,8.1,0.40700000000000003,1.6,4.5,0.35700000000000004,1.7,3.6,0.47,0.507,1.2,1.8,0.667,0.6,3.4,4.0,2.0,0.6,0.5,0.9,2.0,9.4,9.8,0.529,0.5579999999999999,0.226,2.3,13.5,7.7,10.7,1.1,1.5,9.5,15.0,0.2,0.6,0.8,0.052000000000000005,-2.2,-0.2,-2.4,-0.1
Kira Lewis Jr.,NOP,3640200,1st Round Pick,$7462440,PG,19.0,31.0,0.0,14.8,2.4,5.7,0.418,0.7,2.1,0.359,1.6,3.6,0.451,0.483,0.6,0.9,0.741,0.1,0.9,1.1,2.2,0.7,0.1,0.4,1.3,6.2,12.9,0.506,0.36200000000000004,0.153,1.0,7.0,4.0,20.6,2.2,0.9,6.4,18.7,0.5,0.2,0.7,0.078,-2.0,-0.3,-2.2,0.0
Facundo Campazzo,DEN,3623000,Bi-Annual Exception,$7427150,PG,29.0,40.0,1.0,17.9,1.5,4.1,0.377,1.0,2.8,0.35700000000000004,0.5,1.3,0.42,0.5,0.8,1.0,0.805,0.2,1.1,1.4,2.8,1.0,0.2,0.9,2.0,4.9,9.9,0.527,0.701,0.24600000000000002,1.4,7.2,4.3,18.6,2.8,1.2,17.4,13.3,0.4,0.7,1.2,0.077,-2.9,0.5,-2.5,-0.1
Maurice Harkless,SAC,3623000,MLE,$3623000,SF,27.0,13.0,3.0,11.5,0.8,1.7,0.455,0.6,1.2,0.5,0.2,0.5,0.33299999999999996,0.636,0.0,0.2,0.0,0.2,0.9,1.2,0.7,0.2,0.3,0.4,1.2,2.2,6.1,0.612,0.727,0.091,2.3,8.6,5.6,8.1,0.7,2.8,17.9,8.2,0.0,0.1,0.2,0.051,-2.8,-0.3,-3.1,0.0
Bobby Portis,MIL,3623000,Bi-Annual Exception,$3623000,C,25.0,43.0,2.0,21.0,4.6,8.6,0.5379999999999999,1.1,2.4,0.48,3.5,6.2,0.56,0.604,0.7,0.9,0.737,1.8,5.0,6.8,1.1,0.8,0.4,0.8,1.8,11.0,19.6,0.614,0.276,0.10300000000000001,9.1,24.5,17.0,7.3,1.7,1.7,8.1,19.5,2.0,1.3,3.3,0.174,2.1,-0.4,1.6,0.8
Wesley Matthews,LAL,3623000,Bi-Annual Exception,$3623000,SG,34.0,40.0,5.0,20.1,1.5,4.1,0.358,1.1,3.2,0.341,0.4,0.9,0.41700000000000004,0.491,0.5,0.5,0.857,0.3,1.3,1.6,1.0,0.5,0.3,0.5,1.5,4.5,6.4,0.517,0.782,0.127,1.7,6.8,4.3,6.6,1.3,1.4,9.4,10.4,0.1,1.1,1.2,0.073,-3.2,0.3,-2.9,-0.2
Kyle Kuzma,LAL,3562178,1st Round Pick,$29562178,SF,25.0,46.0,16.0,27.4,4.8,11.0,0.43799999999999994,2.0,5.5,0.36700000000000005,2.8,5.5,0.51,0.53,0.8,1.2,0.636,1.9,5.0,6.8,1.6,0.5,0.5,1.7,1.8,12.4,13.0,0.539,0.498,0.109,7.9,19.6,13.9,8.8,0.8,1.7,12.6,20.8,0.2,2.0,2.2,0.084,-0.2,-0.7,-0.9,0.3
Michael Porter Jr.,DEN,3550800,1st Round Pick,$8809535,SF,22.0,36.0,29.0,29.6,6.2,11.7,0.527,2.4,5.6,0.44,3.7,6.1,0.606,0.632,1.5,2.0,0.746,1.6,5.8,7.4,0.9,0.7,0.9,1.1,2.1,16.3,19.7,0.652,0.474,0.16699999999999998,6.3,22.2,14.3,5.0,1.1,3.0,7.9,20.2,2.6,1.2,3.8,0.166,3.3,-1.1,2.2,1.1
Jevon Carter,PHO,3549383,Early Bird,$11500000,PG,25.0,34.0,0.0,9.5,1.1,2.8,0.379,0.6,1.9,0.32799999999999996,0.4,0.9,0.484,0.489,0.1,0.1,1.0,0.1,1.1,1.1,1.1,0.4,0.2,0.2,1.0,2.8,10.4,0.495,0.674,0.021,1.1,12.1,6.8,15.4,2.0,2.0,5.9,14.1,0.2,0.5,0.6,0.096,-2.0,2.5,0.5,0.2
Tony Bradley,OKC,3542060,1st Round Pick,$3542060,C,23.0,21.0,8.0,14.3,2.6,3.7,0.6920000000000001,0.0,0.0,0.0,2.6,3.7,0.701,0.6920000000000001,0.4,0.6,0.6920000000000001,2.0,3.2,5.2,0.9,0.3,0.6,0.5,1.5,5.6,21.0,0.6990000000000001,0.013000000000000001,0.16699999999999998,15.4,24.1,19.9,8.8,1.1,3.8,10.7,13.3,1.0,0.5,1.5,0.23600000000000002,1.8,1.0,2.8,0.4
Derrick White,SAS,3516284,1st Round Pick,$71516284,SG,26.0,20.0,16.0,27.8,4.4,11.2,0.395,2.1,6.1,0.33899999999999997,2.4,5.1,0.461,0.48700000000000004,2.3,2.7,0.868,0.2,2.4,2.6,3.3,0.7,1.1,1.4,2.8,13.2,12.9,0.534,0.5429999999999999,0.23800000000000002,0.7,9.3,4.9,17.0,1.2,3.3,10.2,21.5,0.2,0.6,0.7,0.063,-0.5,0.0,-0.6,0.2
Boban Marjanović,DAL,3500000,Bi-Annual Exception,$3500000,C,32.0,22.0,2.0,8.4,2.0,4.1,0.489,0.0,0.2,0.0,2.0,3.9,0.518,0.489,0.6,0.8,0.722,1.6,2.5,4.0,0.3,0.0,0.1,0.4,0.9,4.6,20.3,0.516,0.055999999999999994,0.2,21.1,31.4,26.4,6.2,0.3,1.5,8.4,25.7,0.3,0.2,0.5,0.122,0.4,-3.9,-3.6,-0.1
T.J. McConnell,IND,3500000,Cap Space,$1000000,PG,28.0,42.0,2.0,25.2,3.4,6.1,0.547,0.2,0.5,0.304,3.2,5.6,0.57,0.56,0.4,0.6,0.5770000000000001,0.7,2.8,3.5,6.5,1.8,0.4,1.8,1.6,7.2,16.2,0.564,0.08900000000000001,0.10099999999999999,3.1,12.5,7.8,35.0,3.5,1.2,22.2,14.1,1.3,1.4,2.8,0.126,-0.3,2.1,1.8,1.0
Josh Hart,NOP,3491159,1st Round Pick,$3491159,SF,25.0,46.0,3.0,28.3,3.2,7.2,0.441,1.3,4.1,0.332,1.8,3.2,0.5820000000000001,0.535,1.4,1.8,0.7709999999999999,1.1,6.7,7.8,2.3,0.8,0.3,1.0,2.3,9.1,12.6,0.568,0.562,0.249,4.5,26.1,15.4,10.3,1.4,0.9,10.9,13.6,1.6,1.0,2.6,0.095,-1.0,0.1,-0.9,0.3
Aaron Nesmith,BOS,3458400,1st Round Pick,$7089600,SF,21.0,25.0,0.0,15.0,1.3,3.4,0.376,0.8,2.5,0.33899999999999997,0.4,0.9,0.478,0.5,0.4,0.6,0.7140000000000001,0.5,1.8,2.3,0.4,0.3,0.2,0.6,1.7,3.8,6.0,0.521,0.7290000000000001,0.165,3.8,13.5,8.6,3.4,0.9,1.5,14.1,12.2,-0.1,0.2,0.2,0.023,-4.0,-0.9,-4.9,-0.3
Sekou Doumbouya,DET,3449400,1st Round Pick,$7063080,PF,20.0,40.0,2.0,12.6,1.3,3.9,0.34,0.4,1.8,0.243,0.9,2.2,0.419,0.39399999999999996,0.6,0.8,0.733,0.5,1.6,2.1,0.6,0.4,0.1,0.7,1.4,3.6,4.7,0.428,0.449,0.192,3.9,14.7,9.2,6.7,1.5,0.4,13.3,17.0,-0.8,0.4,-0.4,-0.039,-6.2,-2.1,-8.3,-0.8
Troy Brown Jr.,CHI,3372840,1st Round Pick,$8543404,SF,21.0,23.0,0.0,13.8,1.7,4.2,0.392,0.7,2.1,0.313,1.0,2.1,0.469,0.469,0.5,0.8,0.667,0.5,2.3,2.7,1.0,0.3,0.2,0.7,1.5,4.5,7.4,0.491,0.495,0.18600000000000003,3.6,17.5,10.5,9.3,0.9,1.1,13.9,16.0,-0.2,0.2,0.0,0.002,-3.7,-1.4,-5.1,-0.3
James Ennis,ORL,3300000,MLE,$3300000,SF,30.0,29.0,25.0,22.2,2.7,5.4,0.48700000000000004,1.1,2.4,0.44299999999999995,1.6,3.0,0.523,0.585,1.4,1.8,0.792,1.1,2.9,4.0,1.4,0.8,0.2,0.9,2.0,7.8,12.5,0.611,0.44,0.325,5.1,13.9,9.4,8.9,1.6,0.8,12.9,14.0,0.8,0.6,1.5,0.10400000000000001,-2.1,0.1,-2.0,0.0
Cole Anthony,ORL,3285120,1st Round Pick,$6734520,PG,20.0,25.0,17.0,26.7,4.0,10.8,0.375,1.1,3.3,0.325,3.0,7.4,0.39799999999999996,0.426,1.8,2.2,0.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0,10.3,0.469,0.309,0.204,3.0,14.6,8.6,21.7,1.2,1.6,14.8,22.3,-0.7,0.6,-0.1,-0.006,-3.0,-1.1,-4.1,-0.4
Trey Burke,DAL,3174603,MLE,$6507936,PG,28.0,44.0,0.0,15.1,2.5,5.7,0.45,1.0,2.8,0.374,1.5,2.9,0.524,0.542,0.8,0.9,0.868,0.1,0.8,1.0,1.4,0.6,0.1,0.5,1.1,6.9,13.4,0.57,0.494,0.153,0.8,6.0,3.5,13.9,1.9,0.4,8.3,19.4,0.7,0.4,1.2,0.084,-0.6,-0.4,-1.0,0.2
Chuma Okeke,ORL,3121080,1st Round Pick,$6398160,PF,22.0,30.0,4.0,22.5,2.1,5.1,0.418,1.1,2.7,0.413,1.0,2.4,0.425,0.526,0.4,0.6,0.647,0.8,2.8,3.7,1.9,0.8,0.4,0.7,1.0,5.7,11.2,0.55,0.506,0.122,3.9,13.3,8.4,12.2,1.8,1.5,12.2,12.1,0.4,0.7,1.2,0.08,-1.8,0.8,-1.0,0.2
Isaiah Stewart,DET,3121080,1st Round Pick,$6398160,C,19.0,44.0,2.0,19.1,2.8,4.8,0.578,0.2,0.4,0.42100000000000004,2.6,4.4,0.594,0.597,0.7,1.0,0.674,2.2,3.5,5.8,0.8,0.5,1.0,0.9,2.4,6.4,15.9,0.612,0.09,0.218,12.8,21.0,16.8,6.5,1.3,4.7,14.4,14.1,1.2,1.1,2.3,0.134,-1.6,0.4,-1.2,0.2
Nickeil Alexander-Walker,NOP,3113160,1st Round Pick,$3113160,SG,22.0,38.0,8.0,20.1,3.7,8.8,0.419,1.6,4.5,0.345,2.1,4.3,0.49700000000000005,0.507,0.9,1.1,0.767,0.3,2.7,3.0,2.0,0.9,0.4,1.3,1.9,9.8,12.8,0.527,0.512,0.129,1.5,15.1,8.4,14.0,2.3,2.2,12.2,22.5,0.0,0.6,0.6,0.04,-1.5,0.0,-1.4,0.1
Patrick Patterson,LAC,3814768,Non Bird,$3077701,PF,31.0,19.0,2.0,12.9,1.7,3.5,0.493,1.0,2.4,0.42200000000000004,0.7,1.2,0.636,0.634,0.2,0.3,0.667,0.4,1.3,1.7,0.6,0.5,0.1,0.4,1.4,4.7,12.0,0.636,0.6940000000000001,0.083,3.0,11.6,7.4,6.1,1.7,1.3,9.7,13.8,0.4,0.3,0.6,0.114,0.1,0.6,0.6,0.2
Donte DiVincenzo,MIL,3044160,1st Round Pick,$7719990,SG,24.0,45.0,45.0,27.3,4.0,9.4,0.42100000000000004,2.0,5.1,0.38299999999999995,2.0,4.3,0.467,0.525,0.7,1.0,0.674,1.2,4.2,5.4,3.0,1.1,0.2,1.4,1.5,10.6,13.1,0.536,0.541,0.10800000000000001,4.9,15.6,10.4,14.3,2.0,0.7,12.0,17.3,1.0,1.4,2.4,0.094,-0.2,0.1,-0.1,0.6
Michael Carter-Williams,ORL,3000000,Early Bird,$6000000,SG,29.0,25.0,19.0,26.1,3.4,8.8,0.384,0.4,1.9,0.23399999999999999,2.9,6.9,0.424,0.409,1.5,2.2,0.679,1.3,3.2,4.5,4.2,0.6,0.5,2.4,2.9,8.7,8.9,0.44,0.205,0.262,5.0,13.5,9.1,24.9,1.2,1.9,18.8,19.9,-0.9,0.6,-0.3,-0.018000000000000002,-4.7,-0.2,-4.9,-0.5
Khem Birch,ORL,3000000,Early Bird Rights,$3000000,C,28.0,45.0,3.0,20.2,2.0,4.4,0.45899999999999996,0.1,0.4,0.2,1.9,3.9,0.489,0.469,1.4,1.9,0.741,2.6,2.8,5.3,1.1,0.7,0.6,0.5,1.4,5.5,14.6,0.526,0.102,0.415,12.6,14.4,13.5,8.0,1.6,2.8,8.7,12.3,1.4,1.0,2.4,0.125,-1.4,-0.5,-1.8,0.0
Ryan Arcidiacono,CHI,3000000,Cap space,$3000000,PG,26.0,28.0,0.0,11.2,1.1,2.9,0.39,0.6,1.8,0.327,0.6,1.2,0.485,0.488,0.4,0.6,0.75,0.1,1.5,1.6,1.3,0.3,0.0,0.3,1.1,3.3,9.0,0.517,0.598,0.195,1.1,14.2,7.8,15.2,1.1,0.0,7.3,13.1,0.3,0.2,0.5,0.078,-3.2,0.0,-3.2,-0.1
Aleksej Pokusevski,OKC,2964840,1st Round Pick,$6078000,PF,19.0,27.0,10.0,22.6,2.3,7.6,0.307,1.0,4.1,0.23399999999999999,1.4,3.5,0.39399999999999996,0.371,0.6,0.7,0.895,0.7,4.0,4.7,1.8,0.4,1.0,1.6,1.1,6.3,5.9,0.396,0.541,0.09300000000000001,3.3,18.6,11.0,11.4,0.9,3.9,17.1,18.3,-1.6,0.8,-0.8,-0.066,-5.6,-0.2,-5.9,-0.6
Goga Bitadze,IND,2957520,1st Round Pick,$6055920,C,21.0,26.0,0.0,9.5,1.7,3.3,0.494,0.2,1.1,0.207,1.4,2.2,0.638,0.529,0.7,1.0,0.6920000000000001,1.0,1.4,2.4,0.3,0.2,1.1,0.4,1.6,4.2,17.2,0.5589999999999999,0.33299999999999996,0.299,11.6,16.8,14.2,4.6,1.0,9.6,9.2,18.9,0.3,0.4,0.7,0.129,-2.3,1.0,-1.3,0.0
Lonnie Walker,SAS,2892000,1st Round Pick,$7339896,SG,22.0,37.0,30.0,26.2,4.4,10.4,0.425,1.7,4.8,0.35600000000000004,2.7,5.6,0.483,0.506,1.0,1.2,0.7829999999999999,0.2,2.5,2.8,1.6,0.5,0.4,1.0,2.0,11.5,10.1,0.526,0.45899999999999996,0.11900000000000001,1.0,10.4,5.6,9.2,1.0,1.2,8.6,20.0,-0.3,0.8,0.5,0.024,-2.2,-1.4,-3.7,-0.4
Luka Šamanić,SAS,2824320,1st Round Pick,$5783400,PF,21.0,17.0,1.0,9.2,1.4,2.9,0.49,0.5,1.5,0.32,0.9,1.4,0.667,0.5710000000000001,0.5,1.0,0.529,0.5,1.6,2.2,0.2,0.2,0.2,0.6,0.9,3.8,11.6,0.575,0.51,0.34700000000000003,5.9,19.2,12.4,3.6,1.2,1.7,15.0,18.5,0.0,0.2,0.2,0.051,-2.9,-1.4,-4.2,-0.1
Josh Green,DAL,2816760,1st Round Pick,$5774280,SG,20.0,23.0,5.0,11.0,1.0,2.3,0.462,0.1,0.7,0.133,1.0,1.6,0.595,0.48100000000000004,0.3,0.6,0.5379999999999999,0.6,1.3,1.9,0.5,0.2,0.1,0.6,0.7,2.5,6.6,0.494,0.28800000000000003,0.25,6.2,12.3,9.3,6.3,1.0,0.7,19.5,12.6,-0.1,0.2,0.0,0.002,-4.6,-0.9,-5.6,-0.2
Kevin Huerter,ATL,2761920,1st Round Pick,$7015277,SG,22.0,46.0,33.0,31.2,4.3,10.5,0.415,2.1,5.7,0.364,2.3,4.7,0.47700000000000004,0.515,0.8,1.0,0.841,0.7,2.8,3.5,3.5,1.2,0.2,1.3,2.4,11.6,11.6,0.532,0.5489999999999999,0.09300000000000001,2.4,9.7,6.1,16.4,1.9,0.7,10.3,16.9,1.1,1.0,2.1,0.07,-0.9,0.0,-0.9,0.4
Alex Caruso,LAL,2750000,Room Exception,$2750000,PG,26.0,37.0,0.0,19.9,1.9,4.8,0.402,0.9,2.2,0.386,1.1,2.6,0.41700000000000004,0.49200000000000005,0.8,1.3,0.638,0.6,2.4,3.0,2.4,1.1,0.2,1.1,1.8,5.6,10.6,0.516,0.46399999999999997,0.263,3.4,13.3,8.5,16.3,2.8,1.0,17.0,14.2,0.1,1.4,1.5,0.095,-2.8,2.3,-0.5,0.3
Matisse Thybulle,PHI,2711280,1st Round Pick,$5551440,SG,23.0,43.0,5.0,19.0,1.4,3.5,0.40700000000000003,0.7,2.1,0.304,0.8,1.3,0.569,0.5,0.2,0.3,0.5710000000000001,0.5,1.3,1.8,1.0,1.5,1.0,0.4,2.1,3.7,10.2,0.512,0.615,0.09,3.1,7.5,5.3,6.6,3.8,4.3,9.5,9.0,0.3,1.7,2.0,0.11199999999999999,-2.5,4.3,1.8,0.8
Saddiq Bey,DET,2689920,1st Round Pick,$5514240,SF,21.0,44.0,27.0,24.9,3.5,8.5,0.41100000000000003,2.3,5.9,0.395,1.2,2.7,0.444,0.547,1.6,1.8,0.873,0.5,3.6,4.1,1.3,0.6,0.1,0.7,1.6,10.9,12.7,0.584,0.688,0.21100000000000002,2.4,16.4,9.3,8.2,1.2,0.4,7.2,17.6,1.3,0.9,2.2,0.095,0.5,-1.0,-0.5,0.4
Josh Okogie,MIN,2651040,1st Round Pick,$6738944,SG,22.0,36.0,21.0,19.8,1.5,4.4,0.35,0.4,1.8,0.22699999999999998,1.1,2.5,0.44,0.39799999999999996,1.3,1.6,0.8140000000000001,0.9,1.6,2.6,1.2,0.9,0.4,0.7,2.1,4.8,7.8,0.473,0.42,0.376,4.7,9.3,6.9,8.0,2.2,1.8,12.4,12.3,-0.1,0.5,0.4,0.026000000000000002,-4.8,0.1,-4.7,-0.5
Brandon Clarke,MEM,2602920,1st Round Pick,$5329800,PF,24.0,39.0,16.0,25.9,4.9,9.3,0.525,0.5,1.5,0.32799999999999996,4.4,7.8,0.563,0.551,1.4,2.1,0.675,1.5,4.1,5.6,1.7,1.1,0.8,0.6,1.5,11.6,17.4,0.57,0.16,0.221,6.1,17.4,11.6,9.4,2.0,3.1,5.2,17.4,1.6,1.5,3.1,0.147,0.5,1.0,1.5,0.9
Precious Achiuwa,MIA,2582160,1st Round Pick,$5293440,PF,21.0,45.0,2.0,12.8,2.2,3.8,0.561,0.0,0.0,,2.2,3.8,0.561,0.561,1.0,2.1,0.5,1.2,2.4,3.6,0.5,0.3,0.5,0.8,1.6,5.4,14.4,0.562,0.0,0.5429999999999999,11.2,20.0,15.7,6.6,1.3,4.2,14.7,19.5,0.2,0.9,1.1,0.092,-3.1,-0.5,-3.6,-0.2
Marc Gasol,LAL,2564753,Minimum Salary,$5257744,C,36.0,38.0,38.0,19.8,1.6,3.8,0.40399999999999997,0.9,2.4,0.355,0.7,1.4,0.491,0.517,0.9,1.1,0.7859999999999999,0.7,3.2,3.9,2.0,0.5,1.2,0.9,2.3,4.8,10.9,0.5589999999999999,0.637,0.28800000000000003,3.9,17.7,11.0,12.9,1.2,5.4,18.0,11.6,0.4,1.5,1.9,0.122,-1.9,2.8,0.9,0.5
Carmelo Anthony,POR,2564753,Minimum Salary,$2564753,PF,36.0,45.0,3.0,26.0,4.9,11.8,0.41700000000000004,1.8,4.6,0.38299999999999995,3.2,7.2,0.439,0.49200000000000005,2.2,2.6,0.863,0.6,2.7,3.3,1.7,0.8,0.7,1.0,2.2,13.9,14.7,0.535,0.387,0.22,2.2,11.6,6.8,10.1,1.6,2.5,7.3,23.3,1.0,0.4,1.4,0.057999999999999996,-0.5,-1.6,-2.1,0.0
Dwight Howard,PHI,2564753,Minimum Salary,$2564753,C,35.0,46.0,4.0,17.1,2.5,4.3,0.57,0.1,0.3,0.28600000000000003,2.4,4.0,0.591,0.58,1.6,2.9,0.5479999999999999,2.6,5.5,8.1,0.7,0.4,0.9,1.8,3.0,6.7,16.0,0.591,0.068,0.662,17.2,34.1,25.9,6.1,1.2,4.7,23.5,18.5,0.4,1.7,2.1,0.127,-3.2,0.2,-3.1,-0.2
Jared Dudley,LAL,2564753,Minimum Salary,$2564753,PF,35.0,11.0,0.0,6.9,0.2,0.6,0.28600000000000003,0.2,0.5,0.4,0.0,0.2,0.0,0.429,0.0,0.0,,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5,5.5,0.429,0.7140000000000001,0.0,6.0,21.5,13.9,8.0,0.6,1.2,22.2,5.2,0.0,0.1,0.1,0.083,-3.8,0.2,-3.6,0.0
Nicolas Batum,LAC,11608231,Minimum Salary,$2564753,SF,32.0,45.0,37.0,28.7,3.0,6.4,0.465,1.8,4.3,0.428,1.1,2.0,0.5429999999999999,0.61,0.9,1.0,0.848,0.8,4.0,4.8,2.3,1.1,0.4,0.8,1.7,8.6,12.9,0.629,0.679,0.159,3.2,15.7,9.6,10.7,1.9,1.1,10.9,11.6,2.2,1.5,3.7,0.133,0.5,0.6,1.1,1.0
Wayne Ellington,DET,3005225,Minimum Salary,$2564753,SG,33.0,34.0,28.0,23.2,3.6,7.9,0.452,2.7,6.4,0.426,0.9,1.6,0.556,0.622,0.7,0.9,0.774,0.2,1.6,1.8,1.4,0.4,0.2,0.7,1.5,10.6,12.8,0.635,0.8,0.115,1.1,7.7,4.3,9.6,0.9,0.8,8.1,17.1,1.1,0.4,1.6,0.095,1.6,-1.7,-0.1,0.4
Jeff Green,BRK,2564753,Minimum Salary,$2564753,C,34.0,43.0,22.0,26.7,3.4,6.9,0.495,1.3,3.2,0.41700000000000004,2.0,3.6,0.564,0.593,1.5,1.9,0.759,0.5,3.2,3.8,1.4,0.6,0.3,0.8,1.8,9.6,11.6,0.623,0.47100000000000003,0.281,2.3,12.9,7.9,6.7,1.0,1.1,9.3,13.8,1.5,0.7,2.2,0.092,-0.7,-1.0,-1.7,0.1
Grayson Allen,MEM,2545320,1st Round Pick,$6600015,SG,25.0,32.0,20.0,24.2,3.2,7.6,0.418,2.0,5.0,0.406,1.2,2.6,0.44,0.551,1.4,1.6,0.902,0.4,2.9,3.3,2.1,1.0,0.2,0.9,1.3,9.8,13.0,0.591,0.6559999999999999,0.209,1.6,13.1,7.2,11.5,2.0,0.6,10.1,16.1,0.9,0.9,1.8,0.11,-0.2,0.6,0.3,0.5
Grant Williams,BOS,2498760,1st Round Pick,$5116560,PF,22.0,39.0,8.0,18.9,1.8,3.9,0.455,0.8,2.1,0.40700000000000003,0.9,1.9,0.507,0.562,0.5,0.9,0.528,1.0,2.2,3.2,1.0,0.6,0.4,0.9,2.7,4.9,8.6,0.565,0.526,0.23399999999999999,5.7,13.1,9.4,7.1,1.5,2.0,16.7,11.9,0.3,0.6,0.9,0.06,-3.4,-0.1,-3.4,-0.3
Tyrese Maxey,PHI,2478840,1st Round Pick,$5081760,SG,20.0,40.0,6.0,14.7,3.1,6.8,0.45899999999999996,0.5,1.5,0.3,2.7,5.3,0.505,0.493,0.6,0.7,0.828,0.2,1.4,1.7,1.6,0.4,0.2,0.6,1.2,7.3,12.9,0.516,0.226,0.11800000000000001,1.7,10.4,6.2,16.1,1.2,0.9,7.8,22.5,0.3,0.7,0.9,0.07400000000000001,-2.0,-1.0,-3.0,-0.1
Chandler Hutchison,WAS,2443440,1st Round Pick,$2443440,SF,24.0,8.0,0.0,11.1,1.6,3.6,0.44799999999999995,0.4,0.8,0.5,1.3,2.9,0.435,0.5,0.3,0.3,1.0,0.3,2.9,3.1,0.5,0.1,0.0,1.0,1.4,3.9,4.6,0.484,0.257,0.14300000000000002,2.9,26.5,14.9,7.2,0.4,0.0,21.2,18.1,-0.2,0.1,-0.1,-0.057999999999999996,-7.5,-1.6,-9.1,-0.2
