Player,Tm,Salary,Signed Using,Guaranteed,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Avery Bradley,HOU,5635000,MLE,$5635000,SG,30.0,11.0,1.0,20.5,2.9,6.5,0.444,1.5,3.8,0.405,1.4,2.7,0.5,0.563,0.6,0.8,0.778,0.2,1.6,1.8,1.5,0.8,0.1,0.8,2.5,8.0,10.3,0.579,0.583,0.125,1.0,8.6,4.9,11.4,1.9,0.5,10.6,16.8,0.1,0.2,0.3,0.071,-3.0,-0.2,-3.2,-0.1
Coby White,CHI,5572680,1st Round Pick,$5572680,PG,20.0,44.0,36.0,31.5,5.5,13.5,0.409,2.3,6.4,0.35100000000000003,3.3,7.1,0.462,0.49200000000000005,1.8,2.0,0.895,0.5,4.1,4.6,4.6,0.5,0.2,2.3,2.5,15.0,11.5,0.524,0.475,0.145,1.7,14.1,8.0,20.9,0.8,0.4,13.5,22.5,0.1,1.0,1.1,0.04,-1.5,-1.8,-3.4,-0.5
Trey Lyles,SAS,5500000,,,PF,25.0,23.0,9.0,15.6,1.9,3.9,0.478,0.6,1.7,0.35,1.3,2.2,0.58,0.556,0.7,1.0,0.652,0.4,3.3,3.7,0.6,0.3,0.0,0.3,0.6,5.0,11.4,0.574,0.444,0.256,2.6,23.1,12.7,5.3,0.8,0.2,5.7,12.9,0.3,0.4,0.7,0.091,-1.2,-0.7,-1.9,0.0
Wendell Carter Jr.,ORL,5448840,1st Round Pick,$5448840,C,21.0,33.0,25.0,24.6,4.0,7.7,0.514,0.2,0.7,0.348,3.7,7.0,0.53,0.529,2.6,3.6,0.7290000000000001,2.2,5.7,7.8,2.1,0.6,0.7,1.5,3.0,10.8,16.7,0.589,0.09300000000000001,0.46299999999999997,10.0,24.8,17.6,12.2,1.1,2.8,14.3,18.8,1.3,1.1,2.3,0.136,-1.1,0.2,-0.9,0.2
Malik Monk,CHO,5345687,1st Round Pick,$5345687,SG,22.0,31.0,0.0,21.7,4.6,10.0,0.46299999999999997,2.2,5.2,0.419,2.5,4.9,0.51,0.5710000000000001,1.7,2.1,0.815,0.4,2.3,2.6,1.8,0.5,0.1,1.5,1.2,13.2,15.3,0.601,0.514,0.209,1.8,11.5,6.6,13.5,1.1,0.6,11.7,24.4,0.7,0.4,1.1,0.077,0.9,-2.0,-1.1,0.1
Killian Hayes,DET,5307120,1st Round Pick,$10879800,PG,19.0,7.0,7.0,21.1,1.9,6.7,0.27699999999999997,0.7,2.9,0.25,1.1,3.9,0.29600000000000004,0.33,0.1,0.3,0.5,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6,-1.5,0.33399999999999996,0.426,0.043,0.7,5.4,3.0,24.2,0.7,0.0,26.2,19.2,-0.6,0.0,-0.5,-0.175,-9.3,-4.2,-13.6,-0.4
Luke Kennard,LAC,5273826,1st Round Pick,$46510190,SG,24.0,42.0,8.0,19.5,3.0,6.2,0.494,1.6,3.4,0.489,1.4,2.8,0.5,0.627,0.3,0.4,0.8240000000000001,0.3,2.5,2.7,1.7,0.3,0.2,0.7,1.4,8.1,13.3,0.628,0.542,0.069,1.5,13.7,7.7,12.3,0.8,0.8,10.1,16.4,1.4,0.7,2.1,0.11699999999999999,0.7,-0.8,-0.1,0.4
Donovan Mitchell,UTA,5195501,1st Round Pick,$131099405,SG,24.0,44.0,44.0,33.6,8.8,20.0,0.439,3.4,8.6,0.39899999999999997,5.4,11.5,0.46799999999999997,0.524,4.7,5.6,0.841,1.0,3.5,4.5,5.5,1.0,0.3,3.0,2.2,25.7,20.9,0.5710000000000001,0.429,0.278,3.3,10.6,7.1,27.5,1.5,0.7,11.7,32.5,3.4,1.8,5.1,0.16699999999999998,3.8,-0.6,3.2,2.0
Bam Adebayo,MIA,5115492,1st Round Pick,$168116082,C,23.0,41.0,41.0,33.8,7.3,12.9,0.565,0.0,0.2,0.28600000000000003,7.2,12.7,0.569,0.5670000000000001,4.7,5.7,0.836,2.4,7.2,9.6,5.3,0.9,1.2,2.7,2.2,19.4,23.0,0.629,0.013000000000000001,0.439,8.3,22.9,15.9,27.1,1.3,3.6,15.1,24.0,3.7,2.2,5.9,0.204,3.2,1.9,5.1,2.5
Jaxson Hayes,NOP,5105160,1st Round Pick,$5105160,C,20.0,34.0,1.0,13.4,2.1,2.9,0.727,0.0,0.0,,2.1,2.9,0.727,0.727,1.1,1.5,0.765,1.1,2.4,3.4,0.5,0.3,0.5,0.6,1.8,5.4,17.5,0.753,0.0,0.515,9.2,19.4,14.4,5.4,1.2,3.5,15.3,13.4,1.2,0.3,1.5,0.163,-0.7,0.4,-0.2,0.2
Justin Jackson,OKC,5029650,1st Round Pick,$5029650,SF,25.0,30.0,3.0,16.4,2.5,6.1,0.418,1.0,3.2,0.305,1.6,2.9,0.54,0.49700000000000005,0.9,1.1,0.848,0.4,1.8,2.2,1.5,0.4,0.1,1.0,1.0,7.0,10.9,0.532,0.522,0.18100000000000002,2.6,11.3,6.9,14.3,1.3,0.4,12.9,20.0,-0.1,0.4,0.3,0.034,-2.1,-0.9,-2.9,-0.1
